"Year","Citizenship","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years or older"
"2019","Senegal",6,9,4,11,7,29,29,20,15,9,5,1,0,0,0,0,0,0,0,0,0
"2019","Seychelles",0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Sierra Leone",1,2,0,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Somalia",34,24,27,48,35,21,20,14,0,3,2,1,1,0,0,0,0,0,0,0,0
"2019","South Africa",9,4,17,15,17,41,48,33,32,23,13,5,4,2,3,0,1,0,0,0,0
"2019","Sudan",7,1,2,2,1,7,9,2,4,2,0,0,0,0,0,0,0,0,0,0,0
"2019","Namibia",1,4,3,1,1,0,9,3,1,2,1,0,1,0,0,0,0,0,0,0,0
"2019","Eswatini",0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Tanzania",1,4,1,1,2,14,11,2,2,1,1,0,0,2,0,0,0,0,0,0,0
"2019","Togo",2,2,3,9,5,11,9,7,8,3,2,1,2,0,0,0,0,0,0,0,0
"2019","Chad",0,2,2,2,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0
